Assembly,Level,WGS,BioSample,Isolate,Taxonomy,BioProject,Accession,Tax ID,Year,City,Contigs,Genome Size,Longest Scaffold,N50,bases >= Q40,% GC,CDS,repeat_region,tRNA,tmRNA,AMX (P),CHL (P),CIP (P),PEF (P),SXT (P),AZM (P),CFM (P),CTR (P)
GCA_013279825.1,Contig,VXEX00000000,SAMN12740299,PGS-77,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740299,90370,2016,New Delhi,97,4747591,489022,185480,4739018,52,4574,1,73,1,S,S,R,R,S,S,S,S
GCA_013279795.1,Contig,VXEY00000000,SAMN12740300,PGS-78,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740300,90370,2016,New Delhi,603,5030996,489022,155287,4897556,52,4746,1,75,1,S,S,R,R,S,S,S,S
GCA_013279765.1,Contig,VXEZ00000000,SAMN12740236,PGS-14,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740236,90370,2010,Orissa,52,4723841,489017,185482,4723335,52,4559,1,71,1,S,S,R,R,S,S,S,S
GCA_013279755.1,Contig,VXFA00000000,SAMN12740301,PGS-79,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740301,90370,2016,New Delhi,103,4803256,466513,163098,4794876,52,4657,1,72,1,S,S,R,R,S,S,S,S
GCA_013279725.1,Contig,VXFC00000000,SAMN12740303,PGS-81,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740303,90370,2016,New Delhi,78,4771971,489022,161360,4765376,52,4607,1,73,1,S,S,R,R,S,S,S,S
GCA_013279715.1,Contig,VXFD00000000,SAMN12740304,PGS-82,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740304,90370,2016,New Delhi,78,4735194,489022,172255,4730603,52,4559,1,73,1,S,S,R,R,S,S,S,S
GCA_013279695.1,Contig,VXFB00000000,SAMN12740302,PGS-80,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740302,90370,2016,New Delhi,78,4771673,489022,185480,4765335,52,4606,1,73,1,S,S,R,R,S,S,S,S
GCA_013279665.1,Contig,VXFE00000000,SAMN12740305,PGS-83,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740305,90370,2015,New Delhi,79,4737461,489022,161360,4732170,52,4567,1,73,1,S,S,R,R,S,S,S,S
GCA_013279655.1,Contig,VXFF00000000,SAMN12740306,PGS-84,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740306,90370,2016,New Delhi,102,4750308,489022,161360,4736316,52,4576,1,73,1,S,S,R,R,S,S,S,S
GCA_013279625.1,Contig,VZQV00000000,SAMN12740309,PGS-87,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740309,90370,2014,New Delhi,486,4970638,489022,155287,4861765,52,4721,1,73,1,S,S,R,R,S,S,S,S
GCA_013279605.1,Contig,VXFI00000000,SAMN12740310,PGS-88,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740310,90370,2015,New Delhi,471,5025253,466475,153685,4926807,52,4787,1,75,1,S,S,R,R,S,S,S,S
GCA_013279595.1,Contig,VXFH00000000,SAMN12740308,PGS-86,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740308,90370,2015,New Delhi,92,4781579,489022,172304,4771068,52,4618,1,74,1,S,S,R,R,S,S,S,S
GCA_013279565.1,Contig,VXFK00000000,SAMN12740312,PGS-90,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740312,90370,2015,New Delhi,471,4993084,489022,155287,4889037,52,4764,1,75,1,S,S,R,R,S,S,S,S
GCA_013279555.1,Contig,VXFJ00000000,SAMN12740311,PGS-89,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740311,90370,2015,New Delhi,538,5066457,466513,153673,4926807,52.1,4821,1,73,1,S,S,R,R,S,S,S,S
GCA_013279515.1,Contig,VXFL00000000,SAMN12740313,PGS-91,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740313,90370,2015,New Delhi,654,5090705,489022,155284,4933917,52,4815,1,75,1,S,s,R,R,S,S,S,S
GCA_013279505.1,Contig,VXFM00000000,SAMN12740314,PGS-92,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740314,90370,2015,New Delhi,102,4857728,488399,161360,4848800,51.9,4713,1,72,1,S,S,R,R,S,S,S,S
GCA_013279495.1,Contig,VXFN00000000,SAMN12740315,PGS-93,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740315,90370,2015,New Delhi,102,4750881,489022,161360,4741145,52,4576,1,73,1,S,S,R,R,S,S,S,S
GCA_013279465.1,Contig,VXFO00000000,SAMN12740316,PGS-94,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740316,90370,2015,New Delhi,115,4791077,489022,185480,4777035,51.9,4620,1,74,1,S,S,R,R,S,S,S,S
GCA_013279455.1,Contig,VXFP00000000,SAMN12740237,PGS-15,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740237,90370,2010,Orissa,55,4724264,489017,204423,4723462,52,4558,1,70,1,S,S,R,R,S,S,S,S
GCA_013279425.1,Contig,VXFQ00000000,SAMN12740317,PGS-95,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740317,90370,2015,New Delhi,103,4619484,489022,172263,4609475,52,4428,1,73,1,S,S,R,R,S,S,S,S
GCA_013279415.1,Contig,VXFR00000000,SAMN12740318,PGS-96,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740318,90370,2015,New Delhi,83,4610001,489021,161360,4603592,52,4420,1,73,1,S,S,R,R,S,S,S,S
GCA_013279395.1,Contig,VXFS00000000,SAMN12740319,PGS-97,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740319,90370,2016,New Delhi,102,4750147,489022,161360,4739169,52,4574,1,74,1,S,S,R,R,S,R,S,S
GCA_013279345.1,Contig,VXFU00000000,SAMN12740321,PGS-99,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740321,90370,2016,New Delhi,102,4875784,489022,155276,4868723,52,4729,1,74,1,R,R,R,R,R,S,S,S
GCA_013279325.1,Contig,VXFT00000000,SAMN12740320,PGS-98,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740320,90370,2016,New Delhi,91,4776133,489022,161360,4768567,51.9,4616,1,73,1,S,S,R,R,S,S,S,S
GCA_013279335.1,Contig,VXFV00000000,SAMN12740322,PGS-100,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740322,90370,2012,Vellore,97,4669273,489022,172232,4661567,52,4475,1,76,1,S,S,R,R,S,S,S,S
GCA_013279315.1,Contig,VXFW00000000,SAMN12740323,PGS-101,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740323,90370,2012,Vellore,99,4749155,489022,172257,4738908,52,4569,1,73,1,S,S,R,R,S,S,S,S
GCA_013279295.1,Scaffold,VXFX00000000,SAMN12740238,PGS-16,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740238,90370,2010,Chennai,54,4723793,489031,172185,4723569,52,4558,1,69,1,S,S,R,R,S,S,S,S
GCA_013279235.1,Contig,VXFZ00000000,SAMN12740325,PGS-103,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740325,90370,2012,Vellore,99,4749654,250437,150787,4741347,52,4578,1,73,1,S,S,R,R,S,S,S,S
GCA_013279245.1,Contig,VXFY00000000,SAMN12740324,PGS-102,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740324,90370,2012,Vellore,104,4747382,489022,161360,4737084,52,4585,1,73,1,R,R,R,R,R,S,S,S
GCA_013279225.1,Contig,VXGA00000000,SAMN12740326,PGS-104,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740326,90370,2016,New Delhi,105,4804953,466513,179341,4796145,52,4657,1,72,1,S,S,R,R,S,S,S,S
GCA_013279215.1,Contig,VXGB00000000,SAMN12740327,PGS-105,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740327,90370,2013,New Delhi,118,4757767,489022,172227,4744092,52,4573,1,73,1,S,S,R,R,S,S,S,S
GCA_013279195.1,Contig,VXGC00000000,SAMN12740328,PGS-106,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740328,90370,2016,New Delhi,115,4826824,466468,155277,4812771,52,4672,1,74,1,S,S,R,R,S,S,S,S
GCA_013279155.1,Contig,VXGD00000000,SAMN12740329,PGS-107,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740329,90370,2013,New Delhi,106,4765015,466520,153674,4756342,52,4602,1,72,1,S,S,R,R,S,S,S,S
GCA_013279135.1,Contig,VXGF00000000,SAMN12740331,PGS-109,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740331,90370,2015,New Delhi,99,4781668,489022,161360,4768691,52,4613,1,73,1,S,S,R,R,S,S,S,S
GCA_013279125.1,Contig,VXGE00000000,SAMN12740330,PGS-108,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740330,90370,2017,New Delhi,92,4776676,489022,161360,4766664,52,4609,1,73,1,S,S,R,R,S,S,S,S
GCA_013279105.1,Contig,VXGG00000000,SAMN12740332,PGS-110,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740332,90370,2015,New Delhi,93,4744125,489022,155277,4737551,52,4573,1,73,1,S,S,R,R,S,S,S,S
GCA_013279095.1,Contig,VXGH00000000,SAMN12740224,PGS-2,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740224,90370,2010,Orissa,80,4942964,467861,161362,4941581,51.8,4795,1,72,1,S,S,R,R,S,S,S,S
GCA_013279055.1,Contig,VXGJ00000000,SAMN12740334,PGS-112,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740334,90370,2016,New Delhi,65,4731044,489022,172263,4726376,52,4559,1,73,1,S,S,R,R,S,S,S,S
GCA_013279045.1,Contig,VXGI00000000,SAMN12740333,PGS-111,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740333,90370,2017,New Delhi,66,4717789,466506,171454,4713559,52,4551,1,73,1,S,S,R,R,S,S,S,S
GCA_013279035.1,Contig,VXGK00000000,SAMN12740335,PGS-113,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740335,90370,2016,New Delhi,126,4796560,489022,185480,4766775,51.9,4610,1,77,1,S,S,R,R,S,S,S,S
GCA_013278995.1,Contig,VXGL00000000,SAMN12740336,PGS-114,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740336,90370,2016,New Delhi,63,4728288,489022,161360,4726072,52,4556,1,73,1,S,S,R,R,S,S,S,S
GCA_013279005.1,Contig,VXGM00000000,SAMN12740337,PGS-115,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740337,90370,2016,New Delhi,63,4762983,489022,185480,4759053,52,4601,1,73,1,S,S,R,R,S,S,S,S
GCA_013278965.1,Contig,VZQU00000000,SAMN12740338,PGS-116,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740338,90370,2016,New Delhi,254,4866980,489022,161360,4806447,52,4686,1,73,1,S,S,R,R,S,S,S,S
GCA_013278955.1,Contig,VXGN00000000,SAMN12740339,PGS-117,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740339,90370,2016,New Delhi,73,4755354,488506,185480,4750181,52,4591,1,73,1,R,R,R,R,R,S,S,S
GCA_013278935.1,Contig,VXGO00000000,SAMN12740340,PGS-118,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740340,90370,2016,New Delhi,82,4864511,489022,155259,4859271,52,4720,1,74,1,R,R,R,R,R,S,S,S
GCA_013278905.1,Contig,VXGP00000000,SAMN12740341,PGS-119,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740341,90370,2017,New Delhi,67,4731084,489022,161194,4726485,52,4562,1,73,1,S,S,R,R,S,S,S,S
GCA_013278895.1,Contig,VXGQ00000000,SAMN12740342,PGS-120,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740342,90370,2016,New Delhi,72,4788663,466506,163098,4786690,52,4650,1,72,1,S,S,R,R,S,S,S,S
GCA_013278865.1,Contig,VXGR00000000,SAMN12740343,PGS-121,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740343,90370,2017,New Delhi,70,4733354,489022,161360,4727107,52,4558,1,73,1,S,S,R,R,S,S,S,S
GCA_013278855.1,Contig,VXGS00000000,SAMN12740344,PGS-122,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740344,90370,2017,New Delhi,74,4802679,466468,153685,4800469,52,4647,1,75,1,S,S,R,R,S,S,S,S
GCA_013278835.1,Contig,VXGT00000000,SAMN12740345,PGS-123,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740345,90370,2017,New Delhi,533,4980993,466486,149683,4796692,51.3,4695,1,81,3,S,S,R,R,S,S,S,S
GCA_013278795.1,Contig,VXGU00000000,SAMN12740239,PGS-17,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740239,90370,2010,Chennai,269,4893987,489024,161362,4842585,51.4,4608,1,87,1,S,S,R,R,S,S,S,S
GCA_013278805.1,Contig,VZQT00000000,SAMN12740346,PGS-124,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740346,90370,2017,New Delhi,310,4870075,489021,161360,4793994,52,4682,1,74,1,S,S,R,R,S,S,S,S
GCA_013278775.1,Contig,VXGV00000000,SAMN12740347,PGS-125,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740347,90370,2016,New Delhi,170,4657566,489022,161360,4609323,51.9,4429,1,81,1,S,S,R,R,S,S,S,S
GCA_013278745.1,Contig,VZQS00000000,SAMN12740348,PGS-126,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740348,90370,2016,New Delhi,206,4876105,466468,153685,4822368,51.8,4679,1,78,1,S,S,R,R,S,S,S,S
GCA_013278725.1,Contig,VXGW00000000,SAMN12740349,PGS-127,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740349,90370,2005,New Delhi,71,4940186,489024,172143,4939916,51.8,4794,1,73,1,R,R,R,R,R,S,S,S
GCA_013278715.1,Contig,VXGX00000000,SAMN12740350,PGS-128,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740350,90370,2008,New Delhi,52,4757055,489024,185482,4756911,52,4595,1,71,1,S,S,R,R,S,S,S,S
GCA_013278695.1,Scaffold,VXGZ00000000,SAMN12740240,PGS-18,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740240,90370,2010,Shimla,53,4726323,489024,173120,4725536,52,4564,1,73,1,S,S,R,R,S,S,S,S
GCA_013278665.1,Contig,VXGY00000000,SAMN12740351,PGS-129,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740351,90370,2008,New Delhi,54,4723998,489024,172160,4723959,52,4549,1,72,1,S,S,R,R,S,S,S,S
GCA_013278655.1,Contig,VXHA00000000,SAMN12740352,PGS-130,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740352,90370,2005,New Delhi,57,4727625,489024,161362,4727579,52,4554,1,73,1,S,S,R,R,S,S,S,S
GCA_013278625.1,Contig,VXHB00000000,SAMN12740353,PGS-131,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740353,90370,2006,New Delhi,61,4774502,489024,172091,4774454,52,4620,1,73,1,S,S,R,R,S,S,S,S
GCA_013278615.1,Contig,VXHC00000000,SAMN12740354,PGS-132,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740354,90370,2006,New Delhi,58,4790278,489024,153693,4789606,52,4640,1,74,1,S,S,R,R,S,S,S,S
GCA_013278585.1,Contig,VZQR00000000,SAMN12740355,PGS-133,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740355,90370,2008,New Delhi,146,4976503,489022,155276,4947850,51.7,4807,1,74,1,R,R,R,R,R,S,S,S
GCA_013278575.1,Contig,VXHD00000000,SAMN12740241,PGS-19,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740241,90370,2010,Shimla,53,4724965,489024,172185,4724509,52,4554,1,69,1,S,S,R,R,S,S,S,S
GCA_013278525.1,Contig,VXHF00000000,SAMN12740225,PGS-3,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740225,90370,1999,New Delhi,62,4732754,489017,172185,4729980,52,4556,1,73,1,S,S,R,R,S,S,S,S
GCA_013278535.1,Contig,VXHE00000000,SAMN12740242,PGS-20,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740242,90370,2010,Chennai,54,4725914,489018,206366,4725381,52,4555,1,73,1,S,S,R,R,S,R,S,S
GCA_013278505.1,Contig,VXHG00000000,SAMN12740226,PGS-4,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740226,90370,1999,New Delhi,77,4941826,467860,161362,4940098,51.8,4791,1,71,1,R,S,R,R,S,S,S,S
GCA_013278485.1,Contig,VXHI00000000,SAMN12740244,PGS-22,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740244,90370,2009,New Delhi,143,4774717,466485,204116,4745887,52,4605,1,72,1,S,S,R,R,S,S,S,S
GCA_013278475.1,Contig,VXHJ00000000,SAMN12740245,PGS-23,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740245,90370,2009,New Delhi,54,4625662,489024,172185,4625167,52,4448,1,72,1,S,S,R,R,S,S,S,S
GCA_013278445.1,Contig,VXHK00000000,SAMN12740246,PGS-24,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740246,90370,2010,New Delhi,57,4726995,489024,185482,4726560,52,4561,1,72,1,S,S,R,R,S,S,S,S
GCA_013278435.1,Contig,VXHL00000000,SAMN12740247,PGS-25,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740247,90370,2005,New Delhi,77,4940442,489024,172035,4940269,51.8,4793,1,72,1,R,S,R,R,S,S,S,S
