Accession,SAMPLE,BIOSAMPLE,N,Database,file
ERR1415777,ERS1028317,SAMEA3721168,60,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1541449,ERS1036931,SAMEA3729782,61,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1541260,ERS1034850,SAMEA3727701,62,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1334590,ERS956866,SAMEA3649717,63,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1541384,ERS1036801,SAMEA3729652,64,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1374862,ERS980184,SAMEA3673035,65,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1415522,ERS1028056,SAMEA3720907,66,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1334681,ERS957002,SAMEA3649853,67,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1514854,ERS1034769,SAMEA3727620,68,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1415785,ERS1028327,SAMEA3721178,69,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217445,ERS845939,SAMEA3538790,70,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1374896,ERS1028301,SAMEA3721152,71,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217106,ERS845628,SAMEA3538479,72,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1415459,ERS980250,SAMEA3673101,73,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1514849,ERS1034764,SAMEA3727615,74,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228291,ERS845971,SAMEA3538822,75,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1374897,ERS1028303,SAMEA3721154,76,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1334613,ERS956917,SAMEA3649768,77,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1334731,ERS957055,SAMEA3649906,78,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228273,ERS845934,SAMEA3538785,79,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1415565,ERS1028086,SAMEA3720937,80,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1204997,ERS807052,SAMEA3499903,81,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1541333,ERS1036886,SAMEA3729737,82,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1415755,ERS1028285,SAMEA3721136,83,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228247,ERS845895,SAMEA3538746,84,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228196,ERS845851,SAMEA3538702,85,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1204944,ERS806153,SAMEA3499004,86,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217149,ERS845671,SAMEA3538522,87,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217286,ERS822285,SAMEA3515136,88,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217196,ERS845719,SAMEA3538570,89,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1289731,ERS956723,SAMEA3649574,90,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1514887,ERS1034802,SAMEA3727653,91,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1334619,ERS956932,SAMEA3649783,92,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217388,ERS822391,SAMEA3515242,93,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1289717,ERS956775,SAMEA3649626,94,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217432,ERS845776,SAMEA3538627,95,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1541320,ERS1036859,SAMEA3729710,96,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1289772,ERS956839,SAMEA3649690,97,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228139,ERS845777,SAMEA3538628,98,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1334426,ERS956755,SAMEA3649606,99,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217420,ERS845763,SAMEA3538614,100,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1415735,ERS1028265,SAMEA3721116,101,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217363,ERS822366,SAMEA3515217,102,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217372,ERS822375,SAMEA3515226,103,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1374875,ERS1028095,SAMEA3720946,104,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1541305,ERS1036829,SAMEA3729680,105,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228245,ERS845892,SAMEA3538743,106,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217450,ERS845949,SAMEA3538800,107,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1334601,ERS956892,SAMEA3649743,108,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228243,ERS845889,SAMEA3538740,109,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228361,ERS846084,SAMEA3538935,110,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1204881,ERS807150,SAMEA3500001,111,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1374909,ERS1028341,SAMEA3721192,112,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1289767,ERS956828,SAMEA3649679,113,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228253,ERS845904,SAMEA3538755,114,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1514893,ERS1034808,SAMEA3727659,115,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1415768,ERS1028302,SAMEA3721153,116,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228140,ERS845778,SAMEA3538629,117,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1216974,ERS819204,SAMEA3512055,118,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217248,ERS822243,SAMEA3515094,119,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1415538,ERS1028065,SAMEA3720916,120,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1375043,ERS980240,SAMEA3673091,121,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1514895,ERS1034810,SAMEA3727661,122,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217132,ERS845654,SAMEA3538505,123,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1514858,ERS1034773,SAMEA3727624,124,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217417,ERS845760,SAMEA3538611,125,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1415466,ERS980257,SAMEA3673108,126,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1415780,ERS1028320,SAMEA3721171,127,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1514984,ERS1034741,SAMEA3727592,128,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228367,ERS846090,SAMEA3538941,129,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228210,ERS845865,SAMEA3538716,130,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1415769,ERS1028304,SAMEA3721155,131,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1415574,ERS1028091,SAMEA3720942,132,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1374910,ERS1028345,SAMEA3721196,133,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1289771,ERS956838,SAMEA3649689,134,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1374894,ERS1028290,SAMEA3721141,135,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1415619,ERS1028139,SAMEA3720990,136,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1541403,ERS1036837,SAMEA3729688,137,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1289719,ERS956779,SAMEA3649630,138,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1415535,ERS1028062,SAMEA3720913,139,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217357,ERS822360,SAMEA3515211,140,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1415789,ERS1028332,SAMEA3721183,141,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1514912,ERS1034827,SAMEA3727678,142,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217350,ERS822353,SAMEA3515204,143,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228272,ERS845932,SAMEA3538783,144,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228391,ERS846114,SAMEA3538965,145,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217296,ERS822296,SAMEA3515147,146,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1204877,ERS807138,SAMEA3499989,147,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228404,ERS846127,SAMEA3538978,148,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1334738,ERS957062,SAMEA3649913,149,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228271,ERS846141,SAMEA3538992,150,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1204910,ERS807223,SAMEA3500074,151,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1289822,ERS956689,SAMEA3649540,152,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217246,ERS822241,SAMEA3515092,153,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1415687,ERS1028197,SAMEA3721048,154,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1334636,ERS956943,SAMEA3649794,155,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1204932,ERS806122,SAMEA3498973,156,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228160,ERS845809,SAMEA3538660,157,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1541553,ERS1037063,SAMEA3729914,158,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1204974,ERS807040,SAMEA3499891,159,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1204878,ERS807144,SAMEA3499995,160,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1334673,ERS956993,SAMEA3649844,161,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228401,ERS846124,SAMEA3538975,162,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1204950,ERS806160,SAMEA3499011,163,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217077,ERS845596,SAMEA3538447,164,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1415665,ERS1028227,SAMEA3721078,165,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217281,ERS822280,SAMEA3515131,166,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1415593,ERS1028113,SAMEA3720964,167,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1514996,ERS1034753,SAMEA3727604,168,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1374904,ERS1028324,SAMEA3721175,169,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217001,ERS819231,SAMEA3512082,170,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217216,ERS845739,SAMEA3538590,171,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1204917,ERS807233,SAMEA3500084,172,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1541351,ERS1036923,SAMEA3729774,173,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1541293,ERS1036804,SAMEA3729655,174,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1415761,ERS1028293,SAMEA3721144,175,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217278,ERS822277,SAMEA3515128,176,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217104,ERS845626,SAMEA3538477,177,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1289722,ERS956785,SAMEA3649636,178,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217162,ERS845685,SAMEA3538536,179,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1216951,ERS819181,SAMEA3512032,180,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1204938,ERS806143,SAMEA3498994,181,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228179,ERS845832,SAMEA3538683,182,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228275,ERS845937,SAMEA3538788,183,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228380,ERS846103,SAMEA3538954,184,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217390,ERS822393,SAMEA3515244,185,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1334650,ERS956969,SAMEA3649820,186,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1204867,ERS807096,SAMEA3499947,187,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217407,ERS845750,SAMEA3538601,188,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1334709,ERS957031,SAMEA3649882,189,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217120,ERS845642,SAMEA3538493,190,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1415627,ERS1028147,SAMEA3720998,191,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1289804,ERS956671,SAMEA3649522,192,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1334454,ERS956846,SAMEA3649697,193,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1205015,ERS807105,SAMEA3499956,194,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1289833,ERS956700,SAMEA3649551,195,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1514851,ERS1034766,SAMEA3727617,196,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1204913,ERS807227,SAMEA3500078,197,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1334634,ERS956937,SAMEA3649788,198,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228260,ERS845914,SAMEA3538765,199,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228220,ERS845890,SAMEA3538741,200,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1204959,ERS806176,SAMEA3499027,201,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1541332,ERS1036884,SAMEA3729735,202,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217131,ERS845653,SAMEA3538504,203,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1205022,ERS807136,SAMEA3499987,204,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1228392,ERS846115,SAMEA3538966,205,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1217022,ERS819252,SAMEA3512103,206,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
ERR1334727,ERS957050,SAMEA3649901,207,ENA,pathogenwatch-klepn-eecuw1wtsdf8-euscape_Merged_Processed.csv
