run_accession,study_accession,NCBI BioSample Accession,tax_id,scientific_name,submitted_ftp,Study ID,Food Microbe Tracker IDb,Farm ID,Isolation Sourcec,Isolation Date (MM/DD/YY),NCBI Sequence Read Archive (SRA) Accession,Pulsed Field Gel Electrophoresis (PFGE) Type Number,Traditional Laboratory-Assigned Serotype,SeqSero2 Predicted Serotype,SISTR Serotype (Antigen),SISTR Serotype (cgMLST),WGS Phylogeny Serotype Clusterd,Used as a Reference for Within-Serotype SNP Calling (Serotype)e,Amikacin MIC,Amikacin  NARMS Breakpoint,Amikacin SIR,Amoxicillin/Clavulanic Acid MIC,Amoxicillin/Clavulanic Acid  NARMS Breakpoint,Amoxicillin/Clavulanic Acid SIR,Ampicillin MIC,Ampicillin  NARMS Breakpoint,Ampicillin SIR,Cefoxitin MIC,Cefoxitin  NARMS Breakpoint,Cefoxitin SIR,Ceftiofur MIC,Ceftiofur  NARMS Breakpoint,Ceftiofur SIR,Ceftriaxone MIC,Ceftriaxone  NARMS Breakpoint,Ceftriaxone SIR,Chloramphenicol MIC,Chloramphenicol  NARMS Breakpoint,Chloramphenicol SIR,Ciprofloxacin MIC,Ciprofloxacin  NARMS Breakpoint,Ciprofloxacin SIR,Gentamicin MIC,Gentamicin  NARMS Breakpoint,Gentamicin SIR,Kanamycin MIC,Kanamycin  NARMS Breakpoint,Kanamycin SIR,Nalidixic Acid MIC,Nalidixic Acid  NARMS Breakpoint,Nalidixic Acid SIR,Streptomycin MIC,Streptomycin  NARMS Breakpoint,Streptomycin SIR,Sulfamethoxazole/Trimethoprim MIC,Sulfamethoxazole/Trimethoprim  NARMS Breakpoint,Sulfamethoxazole/Trimethoprim SIR,Sulfisoxazole MICf,Sulfisoxazole  NARMS Breakpointf,Sulfisoxazole SIRf,Tetracycline MIC,Tetracycline  NARMS Breakpoint,Tetracycline SIR,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,GC (%),N50,N75,L50,L75,# N's per 100 kbp,Marker lineage,Completeness,Contamination
SRR15539702,PRJNA756552,SAMN20884492,192955,Salmonella enterica subsp. enterica serovar Kentucky,NA,ENV_KENT_17_03-11-08_R8-0814,FSL R8-0814,17,Farm environment,11/03/2008,NA,CU-96,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,2,8;16;32,S,0.5,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,8,16;32;64,S,2,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,67,40,30,28,26,20,4731273,4720057,4699304,4684963,4650838,4443176,67,633615,4731273,52.14,247695,163078,6,11,0,f__Enterobacteriaceae (UID5139),100,0.33
SRR15539703,PRJNA756552,SAMN20884491,340188,Salmonella enterica subsp. enterica serovar Cerro,NA,BOV_CERO_62_11-12-08_R8-2903,FSL R8-2903,62,Bovine,12/11/2008,NA,CU-213,Cerro,Cerro,Cerro,Cerro,Cerro,Yes (Cerro),2,16;32;64,S,1,8;16;32,S,2,8;16;32,S,1,8;16;32,S,0.5,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,1,4;8;16,S,8,16;32;64,S,2,16;32,S,32,32;64,S,0.12,2;4,S,16,256;512,S,4,4;8;16,S,90,43,35,29,28,22,4676859,4660508,4646514,4599603,4582471,4357602,90,622540,4676859,52.22,268822,132390,7,13,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539704,PRJNA756552,SAMN20884490,486999,Salmonella enterica subsp. enterica serovar Meleagridis,NA,ENV_MELA_01_04-04-08_R8-0901,FSL R8-0901,1,Farm environment,04/04/2008,NA,CU-175,Meleagridis,Meleagridis,Meleagridis|Calabar,Meleagridis,Meleagridis,No (Not Applicable),2,16;32;64,S,1,8;16;32,S,1,8;16;32,S,4,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.12,2;4,S,64,256;512,S,4,4;8;16,S,102,74,59,55,47,28,4808159,4799690,4761281,4731725,4595209,3945150,102,366294,4808159,52.11,173841,62673,11,23,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539705,PRJNA756552,SAMN20884409,58712,Salmonella enterica subsp. enterica serovar Anatum,NA,ENV_ANAT_56_03-25-09_R8-3653,FSL R8-3653,56,Farm environment,25/03/2009,NA,CU-430,Anatum* (Not serotyped),Anatum,Anatum|Hayindogo,Anatum,Anatum,No (Not Applicable),4,16;32;64,S,1,8;16;32,S,2,8;16;32,S,8,8;16;32,S,8,2;4;8,R,0.5,1;2;4,S,8,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,2,2;4,S,256,256;512,R,4,4;8;16,S,76,42,40,39,35,25,4763303,4751374,4748568,4741381,4664391,4287826,76,507892,4763303,52.16,200008,108072,8,16,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539706,PRJNA756552,SAMN20884489,90371,Salmonella enterica subsp. enterica serovar Typhimurium,NA,ENV_TYPH_25_03-07-08_R8-0812,FSL R8-0812,25,Farm environment,07/03/2008,NA,CU-67,Typhimurium,Typhimurium,Typhimurium|Lagos,Typhimurium,Typhimurium/Typhimurium Copenhagen,No (Not Applicable),1,16;32;64,S,32,8;16;32,R,32,8;16;32,R,32,8;16;32,R,8,2;4;8,R,16,1;2;4,R,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,0.75,16;32;64,S,4,16;32,S,8,32;64,S,0.12,2;4,S,16,256;512,S,4,4;8;16,S,79,55,48,45,37,27,4952559,4944112,4929855,4911339,4775751,4397395,79,460604,4952559,52.07,202174,81629,8,17,0,f__Enterobacteriaceae (UID5139),100,0.07
SRR15539707,PRJNA756552,SAMN20884488,192955,Salmonella enterica subsp. enterica serovar Kentucky,NA,BOV_KENT_17_11-07-07_R6-0957,FSL R6-0957,17,Bovine,07/11/2007,NA,PFGE not performed,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,2,8;16;32,S,0.5,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,58,39,29,28,26,20,4729343,4721744,4701823,4696519,4662394,4454702,58,718006,4729343,52.14,250002,148644,5,10,0,f__Enterobacteriaceae (UID5139),100,0.33
SRR15539708,PRJNA756552,SAMN20884487,486999,Salmonella enterica subsp. enterica serovar Meleagridis,NA,BOV_MELA_01_10-30-07_R6-0810,FSL R6-0810,1,Bovine,30/10/2007,NA,CU-175,Meleagridis,Meleagridis,Meleagridis|Calabar,Meleagridis,Meleagridis,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,4,8;16;32,S,4,2;4;8,I,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,71,43,37,35,34,25,4807201,4799776,4787085,4772020,4750528,4428788,71,795667,4807201,52.12,208423,103526,6,15,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539709,PRJNA756552,SAMN20884486,192955,Salmonella enterica subsp. enterica serovar Kentucky,NA,ENV_KENT_19_07-21-08_R8-1644,FSL R8-1644,19,Farm environment,21/07/2008,NA,CU-96,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,No (Not Applicable),2,16;32;64,S,1,8;16;32,S,1,8;16;32,S,1,8;16;32,S,0.5,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,8,16;32;64,S,2,16;32,S,32,32;64,S,0.12,2;4,S,64,256;512,S,4,4;8;16,S,105,74,58,50,39,29,4730309,4718080,4684336,4630778,4454201,4127925,105,377244,4730309,52.12,205523,77513,9,21,0,f__Enterobacteriaceae (UID5139),100,0.33
SRR15539710,PRJNA756552,SAMN20884485,340188,Salmonella enterica subsp. enterica serovar Cerro,NA,ENV_CERO_62_07-22-08_R8-1631,FSL R8-1631,62,Farm environment,22/07/2008,NA,CU-213,Cerro,Cerro,Cerro,Cerro,Cerro,No (Not Applicable),2,16;32;64,S,1,8;16;32,S,1,8;16;32,S,1,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,1.5,16;32;64,S,2,16;32,S,8,32;64,S,0.12,2;4,S,16,256;512,S,4,4;8;16,S,116,65,53,45,41,29,4676484,4660507,4633951,4571025,4506024,4095184,116,433822,4676484,52.22,168737,81906,10,21,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539711,PRJNA756552,SAMN20884484,108619,Salmonella enterica subsp. enterica serovar Newport,NA,BOV_NEWP_62_11-12-08_R8-2900,FSL R8-2900,62,Bovine,12/11/2008,NA,CU-121,Newport,Newport,Newport|Bardo|Ferruch|Kottbus,Newport,Newport,No (Not Applicable),2,16;32;64,S,32,8;16;32,R,32,8;16;32,R,32,8;16;32,R,8,2;4;8,R,16,1;2;4,R,32,8;16;32,R,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,64,16;32;64,R,2,16;32,S,64,32;64,R,0.12,2;4,S,256,256;512,R,32,4;8;16,R,113,55,26,24,18,13,4935119,4914610,4861431,4849196,4748826,4560368,113,1251270,4935119,52.17,504177,380736,3,6,0,f__Enterobacteriaceae (UID5139),100,0.22
SRR15539712,PRJNA756552,SAMN20884483,108619,Salmonella enterica subsp. enterica serovar Newport,NA,ENV_NEWP_35_07-23-08_R8-1638,FSL R8-1638,35,Farm environment,23/07/2008,NA,CU-126,Newport,Newport,Newport|Bardo|Ferruch|Kottbus,Newport,Newport,No (Not Applicable),2,16;32;64,S,32,8;16;32,R,32,8;16;32,R,32,8;16;32,R,8,2;4;8,R,16,1;2;4,R,32,8;16;32,R,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,8,16;32;64,S,2,16;32,S,64,32;64,R,0.12,2;4,S,256,256;512,R,32,4;8;16,R,125,90,74,67,48,32,4914638,4902510,4870323,4821924,4489905,3922225,125,310327,4914638,52.18,115575,54164,13,28,0,f__Enterobacteriaceae (UID5139),100,0.24
SRR15539713,PRJNA756552,SAMN20884482,486999,Salmonella enterica subsp. enterica serovar Meleagridis,NA,ENV_MELA_01_09-10-08_R8-2233,FSL R8-2233,1,Farm environment,10/09/2008,NA,PFGE not performed,Meleagridis (Multiple serovars),Meleagridis,Meleagridis|Calabar,Meleagridis,Meleagridis,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,4,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,8,16;32;64,S,2,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,59,30,24,23,22,17,4807167,4799311,4786418,4780233,4758741,4577025,59,927679,4807167,52.12,410586,169030,5,9,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539714,PRJNA756552,SAMN20884481,192955,Salmonella enterica subsp. enterica serovar Kentucky,NA,ENV_KENT_16_09-09-08_R8-2031,FSL R8-2031,16,Farm environment,09/09/2008,NA,CU-96,Kentucky* (Untypeable Rough O:NonMotile),Kentucky,Kentucky,Kentucky,Kentucky,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,2,8;16;32,S,0.5,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,8,16;32;64,S,2,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,93,65,55,46,40,26,4728816,4718778,4696114,4627509,4527698,4018921,93,633634,4728816,52.12,197663,75971,8,19,0,f__Enterobacteriaceae (UID5139),100,0.33
SRR15539715,PRJNA756552,SAMN20884480,90371,Salmonella enterica subsp. enterica serovar Typhimurium,NA,ENV_TCOP_25_09-03-08_R8-2017,FSL R8-2017,25,Farm environment,03/09/2008,NA,CU-104,Typhimurium Copenhagen,Typhimurium O5- (Typhimurium Copenhagen),Typhimurium|Lagos,Typhimurium,Typhimurium/Typhimurium Copenhagen,No (Not Applicable),2,16;32;64,S,8,8;16;32,S,32,8;16;32,R,2,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,8,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,64,16;32;64,R,2,16;32,S,64,32;64,R,0.25,2;4,S,256,256;512,R,32,4;8;16,R,143,107,90,78,51,30,5142274,5125793,5085271,5010749,4526160,3794989,143,340397,5142274,52.13,98170,47735,14,32,0,f__Enterobacteriaceae (UID5139),100,0.22
SRR15539716,PRJNA756552,SAMN20884408,192955,Salmonella enterica subsp. enterica serovar Kentucky,NA,BOV_KENT_17_02-12-08_R8-0823,FSL R8-0823,17,Bovine,12/02/2008,NA,PFGE not performed,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,No (Not Applicable),2,16;32;64,S,1,8;16;32,S,1,8;16;32,S,2,8;16;32,S,0.5,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,8,16;32;64,S,2,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,66,38,29,28,26,21,4731131,4719568,4700739,4695435,4661310,4491739,66,717728,4731131,52.14,244893,148330,5,11,0,f__Enterobacteriaceae (UID5139),100,0.33
SRR15539717,PRJNA756552,SAMN20884479,90371,Salmonella enterica subsp. enterica serovar Typhimurium,NA,BOV_TYPH_25_01-15-08_R8-0233,FSL R8-0233,25,Bovine,15/01/2008,NA,CU-67,Typhimurium,Typhimurium,Typhimurium|Lagos,Typhimurium,Typhimurium/Typhimurium Copenhagen,No (Not Applicable),2,16;32;64,S,32,8;16;32,R,32,8;16;32,R,32,8;16;32,R,8,2;4;8,R,16,1;2;4,R,8,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,1.25,16;32;64,S,4,16;32,S,8,32;64,S,0.12,2;4,S,16,256;512,S,4,4;8;16,S,97,76,64,59,45,34,4954271,4946531,4921529,4888758,4638871,4201627,97,361598,4954271,52.07,126195,80267,14,27,0,f__Enterobacteriaceae (UID5139),100,0.07
SRR15539718,PRJNA756552,SAMN20884478,90371,Salmonella enterica subsp. enterica serovar Typhimurium,NA,BOV_TYPH_22_01-18-08_R8-0227,FSL R8-0227,22,Bovine,18/01/2008,NA,CU-71,Typhimurium,Typhimurium,Typhimurium|Lagos,Typhimurium,Typhimurium/Typhimurium Copenhagen,No (Not Applicable),4,16;32;64,S,1,8;16;32,S,1,8;16;32,S,2,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,8,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,1.25,16;32;64,S,4,16;32,S,8,32;64,S,0.12,2;4,S,16,256;512,S,4,4;8;16,S,73,46,39,36,29,23,4745827,4735732,4724011,4703013,4574451,4330437,73,719839,4745827,52.19,214231,128313,7,14,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539719,PRJNA756552,SAMN20884477,108619,Salmonella enterica subsp. enterica serovar Newport,NA,ENV_NEWP_62_01-22-09_R8-3410,FSL R8-3410,62,Farm environment,22/01/2009,NA,CU-121,Newport,Newport,Newport|Bardo|Ferruch|Kottbus,Newport,Newport,No (Not Applicable),1,16;32;64,S,32,8;16;32,R,32,8;16;32,R,32,8;16;32,R,8,2;4;8,R,16,1;2;4,R,32,8;16;32,R,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,64,16;32;64,R,2,16;32,S,64,32;64,R,0.12,2;4,S,256,256;512,R,32,4;8;16,R,131,98,65,62,48,35,4929979,4917290,4851750,4830233,4585796,4129276,131,375323,4929979,52.16,113699,74045,15,28,0,f__Enterobacteriaceae (UID5139),100,0.22
